Price,Schlusskurs,Schlusskurs,Schlusskurs,Schlusskurs,Schlusskurs
Ticker,AMZN,ASML,META,NVDA,TSLA
Datum,,,,,
2025-10-08,225.22000122070312,986.060546875,717.8400268554688,189.11000061035156,438.69000244140625
2025-10-09,227.74000549316406,978.8034057617188,733.510009765625,192.57000732421875,435.5400085449219
2025-10-10,216.3699951171875,934.531982421875,705.2999877929688,183.16000366210938,413.489990234375
2025-10-13,220.07000732421875,982.9161376953125,715.7000122070312,188.32000732421875,435.8999938964844
2025-10-14,216.38999938964844,981.438720703125,708.6500244140625,180.02999877929688,429.239990234375
2025-10-15,215.57000732421875,1008.0216064453125,717.5499877929688,179.8300018310547,435.1499938964844
2025-10-16,214.47000122070312,1017.7843017578125,712.0700073242188,181.80999755859375,428.75
2025-10-17,213.0399932861328,1027.4471435546875,716.9199829101562,183.22000122070312,439.30999755859375
2025-10-20,216.47999572753906,1040.3043212890625,732.1699829101562,182.63999938964844,447.42999267578125
2025-10-21,222.02999877929688,1023.2046508789062,733.27001953125,181.16000366210938,442.6000061035156
2025-10-22,217.9499969482422,1009.7785034179688,733.4099731445312,180.27999877929688,438.9700012207031
2025-10-23,221.08999633789062,1034.574462890625,734.0,182.16000366210938,448.9800109863281
2025-10-24,224.2100067138672,1031.270263671875,738.3599853515625,186.25999450683594,433.7200012207031
2025-10-27,226.97000122070312,1058.1026611328125,750.8200073242188,191.49000549316406,452.4200134277344
2025-10-28,229.25,1050.615966796875,751.4400024414062,201.02999877929688,460.54998779296875
2025-10-29,230.3000030517578,1070.8399658203125,751.6699829101562,207.0399932861328,461.510009765625
2025-10-30,222.86000061035156,1075.449951171875,666.469970703125,202.88999938964844,440.1000061035156
2025-10-31,244.22000122070312,1059.22998046875,648.3499755859375,202.49000549316406,456.55999755859375
2025-11-03,254.0,1066.8199462890625,637.7100219726562,206.8800048828125,468.3699951171875
2025-11-04,249.32000732421875,1030.1400146484375,627.3200073242188,198.69000244140625,444.260009765625
2025-11-05,250.1999969482422,1043.75,635.9500122070312,195.2100067138672,462.07000732421875
2025-11-06,243.0399932861328,1029.199951171875,618.9400024414062,188.0800018310547,445.9100036621094
2025-11-07,244.41000366210938,1016.9600219726562,621.7100219726562,188.14999389648438,429.5199890136719
2025-11-10,248.39999389648438,1038.7900390625,631.760009765625,199.0500030517578,445.2300109863281
2025-11-11,249.10000610351562,1022.4199829101562,627.0800170898438,193.16000366210938,439.6199951171875
2025-11-12,244.1999969482422,1037.3299560546875,609.010009765625,193.8000030517578,430.6000061035156
2025-11-13,237.5800018310547,1019.8599853515625,609.8900146484375,186.86000061035156,401.989990234375
2025-11-14,234.69000244140625,1006.97998046875,609.4600219726562,190.1699981689453,404.3500061035156
2025-11-17,232.8699951171875,1020.0,602.010009765625,186.60000610351562,408.9200134277344
2025-11-18,222.5500030517578,1004.0599975585938,597.6900024414062,181.36000061035156,401.25
